id,name,count,datumvreme
1,I-1,16,2024-04-25 08:03:03.177734
2,I-2,16,2024-04-25 08:53:55.713867
3,I-3,9,2024-04-24 13:01:40.420898
4,I-4,6,2024-04-25 08:04:56.138671
5,II-1,9,2024-04-25 09:26:57.209960
6,II-2,5,2024-04-25 08:54:00.727539
7,II-3,17,2024-04-25 08:58:21.223632
8,II-4,4,2024-04-25 08:56:54.874023
9,III-1,9,2024-04-25 09:26:57.891601
10,III-2,5,2024-04-24 13:01:09.225585
11,III-3,4,2024-04-25 08:56:11.051757
12,III-4,2,2024-04-25 08:03:12.619140
13,IV-1,4,2024-04-24 11:03:04.053710
14,IV-2,4,2024-04-24 13:05:02.071289
15,IV-3,5,2024-04-25 08:03:07.801757
16,IV-4,7,2024-04-24 11:09:14.225585
17,zaposlenih,15,2024-04-25 08:56:43.727539
19,posetilaca,8,2024-04-25 08:56:47.441406
